Date,Content,оружие,расстояние,имя игрока,жертва
2023-11-14 17:50:00,"Yumik убил mrak (ИЖ-18, 12.26m)",ИЖ-18,12.26,Yumik,mrak
2023-11-14 17:50:00,"Major Odbyt убил Miko* (Colt M1911, 2.92m)",Colt M1911,2.92,Major Odbyt,Miko*
2023-11-14 17:51:00,"Poxyist убил PANDA (Mk 14 EBR, 2.84m)",Mk 14 EBR,2.84,Poxyist,PANDA
2023-11-14 17:51:00,"[ReDArmy]ManterZ убил Poxyist (AK-74М, 4.77m)",AK-74М,4.77,[ReDArmy]ManterZ,Poxyist
2023-11-14 17:52:00,"Field Marshal убил Kabanchik (CZ-527, 60.42m)",CZ-527,60.42,Field Marshal,Kabanchik
2023-11-14 18:01:00,"VellSin убил KARLSON (АК-12, 7.85m)",АК-12,7.85,VellSin,KARLSON
2023-11-14 18:04:00,"AbuBandit убил Arabica (Glock-19, 2.48m)",Glock-19,2.48,AbuBandit,Arabica
2023-11-14 18:05:00,"Plotva убил AbuBandit (CMMG Mk47 Mutant, 8.86m)",CMMG Mk47 Mutant,8.86,Plotva,AbuBandit
2023-11-14 18:06:00,"Arabica убил KARLSON (Каменный нож, 0.54m)",Каменный нож,0.54,Arabica,KARLSON
2023-11-14 18:21:00,"Field Marshal убил VERESK (CZ-527, 59.03m)",CZ-527,59.03,Field Marshal,VERESK
2023-11-14 18:25:00,"DAYZMAN STANDALONE убил AbuBandit (Škorpion vz. 64, 4.46m)",Škorpion vz. 64,4.46,DAYZMAN STANDALONE,AbuBandit
2023-11-14 18:25:00,"EvGer убил 9 (Škorpion vz. 64, 0.85m)",Škorpion vz. 64,0.85,EvGer,9
2023-11-14 18:38:00,"Fritz убил Inkorfol (Steyr Scout, 70.6m)",Steyr Scout,70.6,Fritz,Inkorfol
2023-11-14 18:41:00,"Shram убил VERESK (ИЖ-43, 8.01m)",ИЖ-43,8.01,Shram,VERESK
2023-11-14 18:44:00,"Lerppis убил Tikhnov (Нож с клыками, 0.77m)",Нож с клыками,0.77,Lerppis,Tikhnov
2023-11-14 18:50:00,"mrak убил Shram (ИЖ-18, 28.05m)",ИЖ-18,28.05,mrak,Shram
2023-11-14 18:50:00,"Major Odbyt убил [ReDArmy]ManterZ (ИЖ-43, 3.03m)",ИЖ-43,3.03,Major Odbyt,[ReDArmy]ManterZ
2023-11-14 18:50:00,"Woody убил Volk (CMMG Mk47 Mutant, 4.32m)",CMMG Mk47 Mutant,4.32,Woody,Volk
